Основание требования - вступившее в силу решение суда
Требование к должнику - поручителю
Требование заявлено после закрытия реестра кредиторов
Отсутствие доказательств по выдаче средств должнику в полном объёме
Оспаривание сделок должника
Реализация имущества гражданина
Основание требование - кредитный договор
"Неисполнение должником обязательств по договору займа, отсутствие средств для исполнения обязательств"
Ненадлежащее поведение должника
"Отсутствие у кредитора доказательств как финансовой возможности предоставления займа должнику, так и фактической передачи денежных средств"
Задолженность подтверждается материалами уголовного дела
Оспаривание сделки должника
Реструктуризация долгов гражданина
Налоговые требования при банкротстве гражданина
Деятельность финансового управляющего
Включение в конкурсную массу отдельных категорий имущества должника
"Арендатор земельного участка (собственник помещения) полагает, что с момента регистрации права собственности первого лица на любое из жилых помещений в доме участок поступил в долевую собственность, у арендодателя не имелось оснований для получения арендной платы"
"Арендатор лесного участка полагает незаконным отказ в приеме лесной декларации, обоснованный недостоверностью сведений, указанных в ней"
"Арендатор оспаривает пункт договора, предусматривающий возобновление договора на неопределенный срок на тех же условиях, поскольку срок использования и владения участком ограничен конкретными календарными датами"
"Арендатор полагает, что расторжение договора аренды земельного участка не является основанием демонтажа расположенного на нем нестационарного торгового объекта, включенного в схему размещения НТО, поскольку спорный объект установлен в соответствии с ранее действующим порядком на законных основаниях"
"Арендатор своими силами освободил в спорный период земельный участок от принадлежащего ему имущества, при этом обязанность по демонтажу находящихся на участке гаражей у него отсутствовала, что установлено в рамках рассмотрения обособленного спора"
Арендатор ссылается на нарушение своих прав
Арендодатель ссылается на продолжение использования арендатором участка по причине оставшихся на нем опор линий электропередачи
В результате осмотра переданного в аренду лесного участка установлен факт рубки деревьев в водоохранной зоне
В связи с исключением инвестиционного проекта арендатора из перечня приоритетных инвестиционных проектов в области освоения лесов арендодатель полагает возможным расторгнуть договор аренды с возвратом занимаемого объекта
Главе крестьянского (фермерского) хозяйства было отказано в утверждении схем расположения земельных участков и предварительном согласовании предоставления объектов в аренду
"Действие договора аренды земельного участка прекращено в связи с истечением установленного в нем срока, вследствие чего незавершенный строительством объект, собственником которого является арендатор, подлежит отчуждению на основании ст. 239.1 ГК РФ"
Заключение договора аренды на неопределенный срок
"Из представленных арендодателем акта обследования земельного участка и материалов фотофиксации не следует, что самовольное размещение (установка) элемента благоустройства выполнено именно арендатором"
"Истец ссылается на то, что наличие зарегистрированных за ответчиками прав аренды земельного участка и собственности в отношении производственного здания препятствует истцу использовать и распоряжаться участком"
"Истец, ссылающийся на несоблюдение процедуры расторжения договора аренды с его правопредшественником, полагает, что заключение нового договора аренды с третьи лицом является незаконным и препятствует в осуществлении хозяйственной деятельности на эксплуатируемых гидротехнических сооружениях"
"Истец, являющийся собственником нежилого помещения в многоквартирном доме, ссылается то, что со дня введения в действие Жилищного кодекса РФ земельный участок, на котором расположен дом, перешел в общую долевую собственность собственников помещений дома и у ответчиков отсутствовали правовые основания для получения арендной платы за пользование участком"
"Истец, являясь собственником здания, расположенного на спорном земельном участке, обратился к ответчику с заявлением о заключении договора аренды данного участка на новый срок, однако ему было отказано в связи с отсутствием оснований для предоставления участка без проведения торгов"
Истечение срока действия договора
Истечение срока исковой давности
Нарушение договором прав третьих лиц
Нарушение сроков исполнения обязательства
Нарушение сроков оплаты
Нарушение условий договора
"Не представлены доказательства нахождения на спорных земельных участках объектов недвижимости, принадлежащих истцу на праве собственности, а также нарушения оспариваемыми сделками прав и законных интересов истца"
Неосвобождение земельного участка
Несогласие с условиями оплаты
Нецелевое использование земельного участка
Общество ссылается на нарушение своих прав
Общество ссылается на незаконность уведомления
Односторонний отказ от договора
"Определением отказано в удовлетворении заявления о принятии по делу о признании незаконным бездействия Комитета имущественных отношений, выразившегося в непродлении договора аренды земельных участков на новый срок, обеспечительных мер - в виде приостановления действия уведомления арендодателя об отказе от исполнения договора аренды; запрета управлению Росреестра совершать какие-либо действия, направленные на регистрацию прав и сделок в отношении земельных участков"
"По мнению прокурора, оспариваемые условия договора являются недействительными (ничтожными), поскольку противоречат императивной норме закона - п. 9 ст. 22 ЗК РФ и нарушают императивно установленный запрет"
Повышающий коэффициент при расчете арендной платы
"Право хозяйственного ведения истца на нежилое помещение в здании, расположенном на арендованном земельном участке, прекращено, при этом истцом авансом внесена арендная плата, которая подлежит возврату за вычетом платежей, направленных на погашение задолженности за предыдущие периоды"
Прокурор ссылается на противоречие спорных пунктов законодательству
Пропуск срока исковой давности
Самовольная постройка
"Согласно акту планового осмотра на земельных участках складированы отходы производства и потребления, отходы от строительных и ремонтных работ, вперемешку с грунтом, покрышки от автомобилей, металлические бочки, залитые маслами"
Солидарные обязательства
"Сторонами заключен договор аренды лесного участка, обязательства по внесению арендной платы по которому исполнены арендатором надлежащим образом"
"Уполномоченный орган в установленный законом срок направил ответы заявителю по результатам рассмотрения его обращений, в связи с чем бездействия допущено не было"
"Факт передачи земельного участка в аренду ответчику подтвержден, при этом доказательства внесения арендной платы за пользование имуществом не представлены"
Неоплата услуг/Нарушение обязанности по оплате
Безучетное потребление
Другое: поставка электроэнергии
Несогласие с условиями оплаты
Убытки стороны договора
Недобросовестное поведение
Переплата
Повышающий коэффициент при расчете стоимости энергии
